HS_Name,C_Time
C0001HSH001,31198.112472
C0001HSL001,5095.830312
C0001HSL002,9886.074465
C0001HSL003,2012.747350
C0001HSR001,21766.940915
C0001HSR002,27150.048215
C0001HSR003,5412.747659
C0002HSH001,29296.430623
C0002HSL001,31054.923117
C0002HSR001,5507.084481
C0003HSL001,1985.030397
C0003HSL002,10047.135671
C0003HSL003,1857.047187
C0003HSL004,1984.503049
C0003HSR001,15698.318267
C0003HSR002,3669.930518
C0003HSR003,1866.984497
C0004HSH001,19026.914256
C0004HSL001,11825.106921
C0004HSL002,10526.382339
C0004HSL003,12400.342357
C0004HSL004,8931.445635
C0004HSL005,15787.650972
C0004HSL006,5427.933533
C0004HSL007,15707.720667
C0004HSL008,10582.045188
C0004HSL009,10591.293981
C0004HSR001,3686.497970
C0004HSR002,5340.824546
C0004HSR003,5217.346669
C0004HSR004,5058.838701
C0004HSR005,5038.368774
C0004HSR006,5060.654562
C0004HSR007,3466.400434
C0004HSR008,3431.570394
C0004HSR009,3456.564274
C0004HSR010,3463.500483
C0004HSR011,3446.061888
C0004HSR012,3468.497893
C0004HSR013,5295.425771
C0004HSR014,3473.846683
C0004HSR015,3576.677964
C0004HSR016,5069.615509
C0004HSR017,1988.506305
C0005HSL001,12056.429606
C0005HSL002,10554.646453
C0005HSL003,10575.497985
C0005HSL004,12267.975044
C0005HSL005,8873.883352
C0005HSL006,14119.417940
C0005HSL007,1980.238350
C0005HSR001,11947.654641
C0005HSR002,20795.775070
C0005HSR003,20815.602277
C0005HSR004,15682.730984
C0005HSR005,17314.337344
C0005HSR006,15608.147890
C0005HSR007,13876.963698
C0005HSR008,12251.263536
C0005HSR009,10499.716705
C0005HSR010,7152.235569
C0005HSR011,8837.791167
C0005HSR012,7124.751394
C0005HSR013,1984.495214
C0006HSH001,15677.556667
C0006HSL001,8821.171128
C0006HSL002,1946.830121
C0006HSL003,1948.432744
C0006HSR001,3685.002666
C0006HSR002,7198.548278
C0006HSR003,8828.639580
C0006HSR004,2000.133110
C0007HSH001,13906.560695
C0007HSL001,5356.913401
C0007HSL002,1944.890590
C0007HSR001,3640.925555
C0007HSR002,1966.568834
C0008HSL001,10436.792247
C0008HSL002,10472.732095
C0008HSL003,5413.576436
C0008HSL004,7095.587545
C0008HSL005,1951.147823
C0008HSL006,1960.660149
C0008HSR001,10473.172670
C0008HSR002,10450.016079
C0008HSR003,5357.682370
C0008HSR004,7044.347801
C0008HSR005,8744.116486
C0008HSR006,8875.991525
C0008HSR007,3819.100469
C0008HSR008,10498.273173
C0008HSR009,7060.662964
C0009HSH001,25890.619786
C0009HSL001,35982.668065
C0009HSL002,2010.232945
C0009HSR001,5325.560487
C0009HSR002,5317.934401
C0009HSR003,5331.102294
C0009HSR004,5612.889919
C0009HSR005,3702.337803
C0009HSR006,3679.886685
C0009HSR007,1978.776014
C0010HSH001,19110.656621
C0010HSL001,18847.987160
C0010HSL002,30939.758504
C0010HSL003,25844.744530
C0010HSL004,7108.015250
C0010HSR001,22600.598556
C0010HSR002,3694.976630
C0010HSR003,3683.690226
C0010HSR004,1959.084735
C0010HSR005,1970.771282
C0010HSR006,1957.959213
C0010HSR007,2004.732036
C0010HSR008,2039.897179
C0011HSL001,2069.631774
C0011HSL002,29358.599887
C0011HSL003,20772.098787
C0011HSL004,24168.842216
C0011HSL005,8795.280032
C0011HSL006,5363.794556
C0011HSL007,3667.002408
C0011HSL008,1954.557864
C0011HSR001,10755.352701
C0011HSR002,5369.018056
C0011HSR003,5366.873235
C0011HSR004,5361.377665
C0011HSR005,1951.573976
C0011HSR006,1952.854856
C0012HSL001,1949.573905
C0012HSR001,15773.120745
C0013HSH001,32814.003176
C0013HSL001,8836.134917
C0013HSL002,34653.516872
C0013HSR001,1963.253459
C0013HSR002,1967.220948
C0013HSR003,1949.914141
C0014HSL001,24406.829543
C0014HSL002,27362.571004
C0014HSL003,29492.553201
C0014HSL004,20792.527459
C0014HSL005,31043.996438
C0014HSL006,34513.313845
C0014HSL007,32726.243243
C0014HSL008,44965.648362
C0014HSL009,41459.504003
C0014HSL010,43415.069074
C0014HSL011,44741.720400
C0014HSR001,14008.030736
C0014HSR002,13998.795403
C0014HSR003,8594.053869
C0014HSR004,11921.312867
C0014HSR005,12219.218802
C0014HSR006,10459.988472
C0014HSR007,8771.319852
C0014HSR008,10504.259313
C0014HSR009,7141.139638
C0014HSR010,10560.148248
C0014HSR011,10564.496884
C0014HSR012,8802.906533
C0014HSR013,5398.549985
C0014HSR014,3670.798479
C0014HSR015,1966.183186
C0014HSR016,1972.058569
C0015HSL001,2032.655395
C0015HSL002,27304.112006
C0015HSL003,32614.231272
C0015HSL004,43305.720073
C0015HSR001,5452.189115
C0015HSR002,2033.654415
C0016HSH001,22649.075926
C0016HSL001,15611.017273
C0016HSL002,3659.095748
C0016HSL003,10453.138210
C0016HSL004,7072.414056
C0016HSL005,10514.040447
C0016HSL006,5390.301059
C0016HSL007,3685.374181
C0016HSL008,8815.985016
C0016HSL009,7115.793748
C0016HSL010,5399.520405
C0016HSL011,3673.686975
C0016HSL012,5386.370502
C0016HSL013,10584.367128
C0016HSL014,3681.238505
C0016HSL015,3674.076994
C0016HSL016,3578.163992
C0016HSL017,5439.805661
C0016HSL018,1989.935557
C0016HSR001,7220.318853
C0016HSR002,7068.725344
C0016HSR003,22357.392083
C0016HSR004,25822.163183
C0016HSR005,23774.999686
C0016HSR006,5379.836387
C0016HSR007,10494.492602
C0016HSR008,3662.271030
C0016HSR009,12156.672062
C0016HSR010,10477.475216
C0016HSR011,10424.826424
C0016HSR012,13858.690183
C0016HSR013,17314.352416
C0016HSR014,3681.608227
C0016HSR015,5402.170120
C0016HSR016,5383.390845
C0016HSR017,3798.651502
C0017HSL001,41198.834934
C0017HSL002,39901.547902
C0017HSL003,20836.643602
C0017HSL004,36539.049474
C0017HSL005,30946.311033
C0017HSL006,29296.267053
C0017HSL007,37854.954401
C0017HSL008,38165.083387
C0017HSL009,29349.576116
C0017HSL010,17476.243646
C0017HSL011,30834.286958
C0017HSL012,18656.937437
C0017HSL013,17192.778419
C0017HSL014,15254.725398
C0017HSR001,12243.928294
C0017HSR002,12221.498368
C0017HSR003,17155.237936
C0017HSR004,12260.978320
C0017HSR005,5382.691807
C0017HSR006,12089.799456
C0017HSR007,8255.219003
C0017HSR008,6715.173244
C0017HSR009,11512.994301
C0017HSR010,3543.351069
C0017HSR011,3515.710726
C0017HSR012,1935.519691
